"regio1","serviceCharge","heatingType","balcony","picturecount","totalRent","yearConstructed","noParkSpaces","hasKitchen","livingSpace","condition","petsAllowed","heatingCosts","typeOfFlat","floor","date"
"Bayern",130,"central_heating",FALSE,13,590,1991,1,TRUE,19,"well_kept",NA,NA,"apartment",1,"19-Oct"
"Sachsen",70,NA,TRUE,14,547,1979,NA,FALSE,70.24,"first_time_use_after_refurbishment","yes",77,"apartment",6,"19-May"
"Sachsen",150,"central_heating",TRUE,20,457.63,1995,1,TRUE,60.32,"fully_renovated","negotiable",NA,"apartment",1,"18-Sep"
"Bayern",100,"combined_heat_and_power_plant",TRUE,49,845,2017,NA,FALSE,44.32,"mint_condition","negotiable",NA,"apartment",3,"19-May"
"Schleswig_Holstein",80,"central_heating",FALSE,0,NA,NA,1,TRUE,68.37,"first_time_use_after_refurbishment",NA,70,"apartment",1,"19-Oct"
"Sachsen_Anhalt",80,"district_heating",TRUE,8,754.98,1989,1,FALSE,88.92,"first_time_use_after_refurbishment",NA,97,"apartment",3,"18-Sep"
"Nordrhein_Westfalen",130,"central_heating",FALSE,7,633,1969,NA,FALSE,74,"well_kept","negotiable",74,"roof_storey",2,"18-Sep"
"Sachsen",120,"central_heating",FALSE,20,539,1920,NA,FALSE,55.83,"well_kept","no",NA,"apartment",2,"19-Oct"
"Niedersachsen",220,NA,FALSE,2,1350,2015,1,FALSE,95,"mint_condition",NA,NA,"apartment",1,"18-Sep"
"Nordrhein_Westfalen",220,"floor_heating",TRUE,12,1509.22,2018,1,TRUE,87.72,"first_time_use","no",105,"penthouse",1,"20-Feb"
"Nordrhein_Westfalen",200,"oil_heating",TRUE,11,900,1966,1,TRUE,84,"first_time_use_after_refurbishment","no",NA,"apartment",1,"20-Feb"
"Bayern",90,"floor_heating",TRUE,9,563,2012,NA,TRUE,31.97,"mint_condition","no",NA,"apartment",3,"20-Feb"
"Nordrhein_Westfalen",117,"central_heating",TRUE,10,NA,1956,1,FALSE,64.11,"well_kept","negotiable",27,"apartment",1,"20-Feb"
"Bayern",80,"central_heating",TRUE,12,NA,NA,NA,TRUE,29,"well_kept","no",35,"apartment",3,"19-May"
"Bayern",150,"gas_heating",TRUE,2,1100,1970,1,TRUE,116,"well_kept","no",NA,"ground_floor",0,"20-Feb"
"Berlin",270,"floor_heating",TRUE,7,1999,2016,1,TRUE,98.83,"mint_condition","negotiable",NA,"apartment",2,"20-Feb"
"Bayern",90,"floor_heating",TRUE,9,1180,1987,1,TRUE,115,"well_kept","negotiable",NA,"maisonette",4,"19-Oct"
"Sachsen",65,"central_heating",TRUE,2,490,1986,NA,TRUE,52.58,"refurbished","negotiable",45,NA,0,"19-May"
"Nordrhein_Westfalen",455,"central_heating",TRUE,12,1795,1980,NA,FALSE,162.37,"first_time_use_after_refurbishment","negotiable",NA,"maisonette",4,"19-Oct"
"Nordrhein_Westfalen",117,"central_heating",TRUE,2,536.15,1978,NA,FALSE,64.55,"well_kept",NA,77,"ground_floor",NA,"19-May"
"Sachsen",50,"central_heating",TRUE,12,604,1925,NA,FALSE,76.45,"well_kept","negotiable",110,"roof_storey",2,"19-Oct"
"Bayern",210,"central_heating",TRUE,3,1615,2019,1,FALSE,105.15,"first_time_use",NA,NA,"terraced_flat",0,"19-Oct"
"Berlin",88,"central_heating",TRUE,8,854,1910,NA,TRUE,59.07,"first_time_use_after_refurbishment","negotiable",75,"apartment",2,"18-Sep"
"Nordrhein_Westfalen",120,"central_heating",TRUE,15,1020,1969,1,TRUE,104,"well_kept","negotiable",130,NA,1,"19-Oct"
"Nordrhein_Westfalen",65,"oil_heating",TRUE,9,NA,1969,0,FALSE,70,"well_kept","negotiable",75,"apartment",2,"18-Sep"
"Bayern",150,"wood_pellet_heating",FALSE,18,800,NA,NA,TRUE,81.98,"fully_renovated","no",NA,"roof_storey",2,"19-Oct"
"Sachsen",125,"central_heating",TRUE,18,585,1998,1,FALSE,47.48,"mint_condition",NA,NA,"apartment",1,"19-May"
"Bayern",100,"central_heating",FALSE,17,NA,1920,NA,TRUE,63,"refurbished",NA,50,"apartment",1,"19-May"
"Nordrhein_Westfalen",160,"central_heating",FALSE,6,430,NA,NA,FALSE,51.4,"well_kept","negotiable",NA,"apartment",2,"19-May"
"Nordrhein_Westfalen",80,"central_heating",FALSE,13,690,1960,NA,FALSE,77,"fully_renovated",NA,70,"roof_storey",4,"19-May"
"Sachsen",105,"central_heating",TRUE,7,345,1989,NA,TRUE,55,"well_kept","negotiable",NA,"apartment",5,"19-May"
"Sachsen",204,"central_heating",FALSE,7,674,1878,NA,FALSE,102,"negotiable",NA,NA,"roof_storey",2,"19-Oct"
"Nordrhein_Westfalen",140,"central_heating",TRUE,6,507.2,1964,NA,TRUE,51,"modernized","negotiable",NA,"ground_floor",0,"19-May"
"Nordrhein_Westfalen",110,"district_heating",FALSE,5,605,1985,NA,FALSE,73,"well_kept",NA,75,"apartment",1,"20-Feb"
"Sachsen",130,"district_heating",FALSE,9,500,1899,1,TRUE,43.49,"refurbished","negotiable",NA,"apartment",2,"19-May"
"Nordrhein_Westfalen",260,"gas_heating",TRUE,16,1960,1910,NA,FALSE,300,"well_kept","yes",NA,"other",2,"19-Oct"
"Sachsen_Anhalt",195,"central_heating",FALSE,13,645,1960,NA,FALSE,72,"well_kept","negotiable",NA,"roof_storey",NA,"19-May"
"Sachsen",86,NA,TRUE,2,524,1984,NA,FALSE,72.9,NA,"negotiable",92,"other",4,"20-Feb"
"Nordrhein_Westfalen",126,"central_heating",FALSE,5,714.99,2001,NA,FALSE,58.8,NA,NA,119,"apartment",1,"19-Oct"
"Sachsen_Anhalt",200,"central_heating",FALSE,11,790,1900,1,FALSE,115.5,"well_kept",NA,NA,"apartment",NA,"19-Oct"
"Nordrhein_Westfalen",484.23,"central_heating",TRUE,15,2127.16,2018,2,FALSE,172.94,"first_time_use",NA,NA,"ground_floor",0,"19-Oct"
"Sachsen_Anhalt",156.2,"central_heating",TRUE,9,788.82,1936,NA,FALSE,78.1,"first_time_use_after_refurbishment","negotiable",82,"apartment",2,"18-Sep"
"Nordrhein_Westfalen",120,"central_heating",FALSE,6,420,1906,NA,FALSE,49.8,"modernized","no",NA,"roof_storey",2,"19-Oct"
"Nordrhein_Westfalen",250,"central_heating",TRUE,22,930,1972,1,FALSE,95,"well_kept",NA,NA,"apartment",10,"19-Oct"
"Niedersachsen",180,"central_heating",TRUE,16,NA,NA,1,FALSE,125,"first_time_use_after_refurbishment","no",NA,"apartment",1,"20-Feb"
"Nordrhein_Westfalen",130,"gas_heating",TRUE,14,1330,2017,1,TRUE,130,"mint_condition","no",NA,"apartment",2,"19-Oct"
"Nordrhein_Westfalen",520,NA,TRUE,24,2380,2010,2,TRUE,261,"fully_renovated","no",NA,NA,0,"18-Sep"
"Schleswig_Holstein",140,"oil_heating",FALSE,8,500,NA,1,TRUE,53,"well_kept","no",NA,"apartment",1,"20-Feb"
"Berlin",350,"floor_heating",TRUE,22,2750,2019,1,TRUE,110,NA,"yes",NA,"roof_storey",6,"20-Feb"
"Niedersachsen",165,"central_heating",TRUE,7,835,1953,1,FALSE,80,"well_kept",NA,NA,"ground_floor",NA,"18-Sep"
"Nordrhein_Westfalen",80,"central_heating",FALSE,24,540,1960,NA,FALSE,47,NA,NA,60,"apartment",0,"19-Oct"
"Sachsen_Anhalt",79.19,"central_heating",TRUE,9,503.06,1984,NA,FALSE,65.45,"well_kept",NA,94,"apartment",3,"19-Oct"
"Schleswig_Holstein",150,"central_heating",TRUE,10,865,1978,1,TRUE,85,"fully_renovated","negotiable",NA,"maisonette",1,"20-Feb"
"Niedersachsen",60,"central_heating",TRUE,6,360,1957,NA,TRUE,20,"first_time_use_after_refurbishment","no",NA,"other",2,"19-May"
"Nordrhein_Westfalen",300,"self_contained_central_heating",TRUE,16,1150,1904,1,TRUE,104,"well_kept","no",NA,"maisonette",2,"19-Oct"
"Sachsen",201,"floor_heating",TRUE,24,791,NA,1,FALSE,67,"first_time_use_after_refurbishment","negotiable",NA,"terraced_flat",0,"19-Oct"
"Berlin",79.44,"district_heating",TRUE,9,NA,2019,NA,FALSE,52.96,"well_kept",NA,42.37,"other",11,"19-Oct"
"Nordrhein_Westfalen",270,"floor_heating",TRUE,29,1370,1960,1,TRUE,178,"refurbished","no",NA,"maisonette",1,"19-May"
"Sachsen_Anhalt",40,"district_heating",FALSE,6,NA,1980,0,FALSE,24.38,NA,"negotiable",40,"apartment",1,"19-May"
"Sachsen_Anhalt",93,"central_heating",TRUE,8,429.94,1994,NA,FALSE,57.08,NA,NA,23,"apartment",3,"20-Feb"
"Bayern",160,"floor_heating",TRUE,0,510,2003,NA,FALSE,70,"well_kept","no",NA,"terraced_flat",NA,"19-Oct"
"Schleswig_Holstein",80,"oil_heating",FALSE,0,770,1905,NA,TRUE,60,"refurbished","no",40,"apartment",2,"20-Feb"
"Nordrhein_Westfalen",85,"self_contained_central_heating",TRUE,3,519,1976,NA,FALSE,64,"well_kept",NA,50,"apartment",3,"20-Feb"
"Sachsen",499,"district_heating",TRUE,22,2993,2016,NA,TRUE,199.5,"mint_condition","negotiable",NA,"apartment",4,"20-Feb"
"Berlin",200,"central_heating",FALSE,17,730,2017,NA,TRUE,20.5,NA,"no",NA,"apartment",2,"20-Feb"
"Berlin",250,"floor_heating",TRUE,9,1500,2018,NA,TRUE,62.93,"mint_condition","negotiable",NA,"terraced_flat",0,"19-Oct"
"Berlin",121.65,"floor_heating",TRUE,15,1256.72,2015,NA,TRUE,81.1,"well_kept","negotiable",145.98,"ground_floor",0,"20-Feb"
"Bayern",70,"self_contained_central_heating",TRUE,10,500,1965,1,FALSE,65,"well_kept","no",NA,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",150,"gas_heating",TRUE,30,850,1969,1,TRUE,72,"refurbished","negotiable",NA,"apartment",6,"19-May"
"Sachsen",120,"central_heating",FALSE,8,385,1996,NA,TRUE,59,"fully_renovated",NA,NA,"apartment",2,"19-May"
"Sachsen",147.5,"central_heating",FALSE,17,422.75,1928,NA,FALSE,75.38,"fully_renovated","yes",NA,"apartment",3,"19-May"
"Berlin",140,"night_storage_heater",TRUE,2,679,1971,NA,FALSE,64,"modernized","negotiable",80,"apartment",2,"19-May"
"Nordrhein_Westfalen",150,"gas_heating",TRUE,1,710,1996,1,FALSE,88,"well_kept","negotiable",NA,"apartment",1,"18-Sep"
"Nordrhein_Westfalen",100,"central_heating",FALSE,0,650,1905,NA,TRUE,45,"fully_renovated","no",NA,"other",2,"19-Oct"
"Schleswig_Holstein",170,"central_heating",FALSE,14,720,1952,NA,TRUE,55,"fully_renovated","negotiable",NA,"apartment",2,"19-May"
"Nordrhein_Westfalen",250,"floor_heating",TRUE,28,1749,2019,1,FALSE,117.5,"first_time_use","negotiable",NA,"ground_floor",0,"19-May"
