sale_date,sale_price,house_square_feet,attic_finished_square_feet,basement_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,hvac_description,exterior,interior,stories,roof_cover,year_built,bedrooms,bathrooms,waterfront_type,view_quality,utility_sewer
2020-01-02,380000,2157,0,0,528,0,0,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,1993,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,383000,2238,0,0,396,0,0,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2017,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-01,419900,1452,0,0,0,0,1,Forced Air,Frame Siding,Drywall,1,Built Up Rock,1965,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,251660,832,0,0,0,0,0,Forced Air,Frame Vinyl,Drywall,1,Composition Shingle,1919,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,500000,1780,0,384,484,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1955,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,250000,989,336,0,0,0,1,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1925,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,360000,2048,0,0,441,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1998,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-01,370000,1118,0,0,242,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1968,3,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,485000,978,340,968,0,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,1,Composition Shingle,1925,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,475000,2238,0,0,436,0,1,Heat Pump,Frame Siding,Drywall,2,Composition Shingle,2019,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-01,442995,2180,0,0,642,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2014,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,535000,2483,0,0,688,0,1,Forced Air,Frame Siding,Drywall,2,Wood Shake,1994,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,775000,2750,0,711,575,0,1,Forced Air,Frame Siding,Drywall,2,Built Up Rock,1978,3,2,,View Avg,SEWER/SEPTIC INSTALLED
2020-01-02,516521,2738,0,0,433,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2019,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,265000,1374,0,0,0,0,1,Heat Pump,Frame Siding,Drywall,1,Composition Shingle,1972,2,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,358000,1518,0,0,400,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1991,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,230000,660,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1918,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,363000,960,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Built Up Rock,1963,2,1,,View Lim -,SEWER/SEPTIC INSTALLED
2020-01-02,415000,2150,0,0,400,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2012,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,483000,2418,0,792,0,0,2,Warm and Cool Air Zone,Frame Vinyl,Drywall,2,Composition Shingle,1991,3,3,,View Lim,SEWER/SEPTIC INSTALLED
2020-01-02,248000,650,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1957,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-03,385000,2397,0,0,618,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2003,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,260000,789,0,0,0,0,0,Floor/Wall Furnace,Frame Siding,Drywall,1,Composition Shingle,1949,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,690000,3027,0,0,866,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2002,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,317000,1032,0,468,0,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1920,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,479000,1947,0,0,0,484,2,Forced Air,Frame Vinyl,Drywall,2,Composition Shingle,1993,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,353000,1734,0,0,483,0,1,Forced Air,Frame Siding,Drywall,1,Composition Shingle,1963,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,280000,840,440,0,0,650,1,Forced Air,Frame Vinyl,Drywall,1,Composition Shingle,1910,1,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,349500,1646,0,0,0,572,1,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1979,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,255000,1020,0,0,570,0,1,Forced Air,Frame Vinyl,Drywall,1,Composition Shingle,1946,1,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,379950,1971,0,0,400,0,2,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1986,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,460000,2656,0,0,455,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2020,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-03,315000,1602,0,0,462,528,2,Forced Air,Frame Siding,Drywall,1,Concrete Tile,1965,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-02,442000,2535,0,0,399,0,1,Warm and Cool Air Zone,Frame Siding,Drywall,2,Composition Shingle,2013,4,3,,,SEWER/SEPTIC INSTALLED
2020-01-02,225000,960,0,960,220,0,1,Forced Air,Masonry Concrete Block,Drywall,1,Composition Shingle,1949,3,2,,,SEWER/SEPTIC INSTALLED
2020-01-01,422000,2701,0,0,471,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,2006,3,3,,,SEWER/SEPTIC INSTALLED
2020-01-01,286400,1348,0,594,0,0,1,Forced Air,Frame Siding,Drywall,2,Composition Shingle,1931,2,1,,,SEWER/SEPTIC INSTALLED
2020-01-02,151272,1299,0,0,0,0,0,Electric Baseboard,Frame Siding,Drywall,1,Composition Shingle,1977,3,1,,,SEWER/SEPTIC INSTALLED
