Label,Intergovt Revenue,Own Source Revenue,Utility Revenue,Education Services Expend.,log(Education Services Expend.),Public Safety Expend.,City Population,School Enrollment in City (est.)
AK: Anchorage,2384,2830,685,2636,7.877,659,300429,48368
AK: Fairbanks,2932,2660,10,2468,7.811,563,32215,4716
AL: Birmingham,1415,3548,756,1325,7.189,871,211875,25990
AL: Mobile,1331,2518,211,1412,7.253,548,193805,27814
AL: Montgomery,1371,3220,7,1298,7.169,573,201334,29385
AR: Ft. Smith,2022,1938,279,1912,7.556,433,87366,15282
AR: Little Rock,1842,2635,5,1794,7.492,744,197698,26542
AZ: Mesa,1247,1686,1123,1075,6.980,635,470551,63646
AZ: Phoenix,1407,2432,979,1304,7.173,639,1554179,223401
AZ: Tucson,1575,2351,359,984,6.892,541,527635,66857
CA: Anaheim,2560,3085,1829,1736,7.459,766,345698,55372
CA: Bakersfield,3349,2628,241,2208,7.700,1158,367819,64018
CA: Fremont,2148,3834,221,1391,7.238,815,228425,32382
CA: Fresno,3305,2155,179,2294,7.738,666,514376,92023
CA: Huntington Beach,1650,2914,435,1419,7.258,812,200048,26567
CA: Long Beach,3295,4820,567,1977,7.589,993,470431,76779
CA: Los Angeles,3120,4349,1445,1862,7.529,1095,3920173,483860
CA: Modesto,3014,2130,2362,1858,7.527,661,208333,32229
CA: Oakland,4345,6027,510,1412,7.253,1336,413313,40017
CA: Riverside,3548,2767,1684,1766,7.476,877,318457,52851
CA: Sacramento,2857,3376,1627,1734,7.458,829,483920,62903
CA: San Diego,1916,3564,659,1717,7.448,618,1379299,166157
CA: San Francisco,3389,8255,1109,1239,7.122,1138,850424,53361
CA: San Jose,2594,4853,191,1546,7.343,735,1013237,121087
CA: Santa Ana,2936,2352,300,2357,7.765,666,334136,67228
CA: Stockton,3485,2751,139,2061,7.631,750,301278,49613
CO: Aurora,1565,2901,409,1915,7.557,510,351968,54489
CO: Colorado Springs,1359,3411,1822,1564,7.355,425,447939,62867
CO: Denver,1687,6650,432,1942,7.571,783,662425,69766
CT: Bridgeport,3073,2545,11,2414,7.789,1082,147560,23799
CT: Hartford,4975,3081,200,3593,8.187,707,124325,22839
CT: New Haven,4159,2747,2,2960,7.993,571,130248,20380
DC: Washington,5487,13697,414,4301,8.367,1619,659005,61228
DE: Dover,1144,1698,2224,1344,7.203,542,37428,2999
DE: Wilmington,2189,3776,812,1949,7.575,1398,71598,8622
FL: Ft. Lauderdale,1215,5051,703,1116,7.018,1377,175599,17417
FL: Hialeah,1385,3705,233,1236,7.120,811,236012,25414
FL: Jacksonville,1179,2560,1918,1374,7.225,627,898372,120668
FL: Miami,1338,4440,154,1151,7.048,1176,431064,43393
FL: Orlando,1379,4274,701,1463,7.288,1371,262809,31466
FL: St. Petersburg,960,3100,359,1277,7.152,784,253524,29846
FL: Tallahassee,1006,2699,1816,890,6.791,745,188116,14457
FL: Tampa,2600,3258,497,1642,7.404,1014,359677,51096
GA: Atlanta,1284,6020,806,2020,7.611,841,455389,46866
GA: Columbus,1104,2150,158,1511,7.321,525,201245,31790
IA: Cedar Rapids,1457,2807,251,839,6.732,580,129341,7872
IA: Des Moines,2068,3120,254,2136,7.667,574,213676,32689
ID: Boise,1019,2244,2,983,6.891,600,219066,23889
ID: Nampa,935,1450,86,738,6.604,437,88079,9166
IL: Aurora,1672,2543,184,2010,7.606,640,200495,35423
IL: Chicago,2397,4006,410,2186,7.690,838,2718530,365620
IN: Ft. Wayne,1348,1961,165,1552,7.347,533,260893,34817
IN: Gary,1934,2313,36,1255,7.135,483,77955,12048
IN: Indianapolis,1966,2874,638,1593,7.373,594,934212,133836
KS: Kansas City,2438,2426,1772,2282,7.733,762,161855,28310
KS: Topeka,1530,2349,231,1718,7.449,690,127448,15144
KS: Wichita,1711,1946,199,1906,7.553,542,388348,59137
KY: Lexington,680,2440,8,1424,7.261,469,310725,37819
KY: Louisville,913,2654,255,1519,7.326,371,760703,97331
LA: Baton Rouge,923,2820,32,1441,7.273,618,445864,41401
LA: New Orleans,1897,3855,243,708,6.562,884,384355,2737
LA: Shreveport,1321,3193,198,2073,7.637,994,198348,34488
MA: Boston,1917,3942,217,2023,7.612,906,659180,66905
MA: Springfield,3426,1559,11,3173,8.062,417,154033,28167
MA: Worcester,2163,2018,310,2100,7.650,444,184005,25446
MD: Baltimore,2801,2894,283,2183,7.688,1102,623353,78384
MD: Frederick,1843,4338,419,2446,7.802,851,68354,9899
ME: Lewiston,1909,2035,151,1736,7.459,416,36278,4651
ME: Portland,1407,4081,4,1567,7.357,525,66735,7147
MI: Detroit,2472,3257,570,1089,6.993,743,679903,74365
MI: Flint,3006,4984,428,957,6.864,437,98900,11055
MI: Grand Rapids,1697,2179,214,1245,7.127,516,194321,17235
MI: Warren,1705,2183,151,1559,7.352,569,135485,18988
MN: Minneapolis,2185,4303,179,1838,7.516,779,406619,36017
MN: St. Paul,2738,3041,173,2326,7.752,764,297378,38316
MO: Kansas City,1077,4332,326,1542,7.341,872,470651,55948
MO: St. Louis,1123,3732,194,1293,7.165,1081,316840,25084
MS: Gulfport,1875,7752,95,1343,7.203,593,71471,9429
MS: Jackson,1623,2005,205,1688,7.431,476,172152,32022
MT: Billings,1049,2429,217,1503,7.315,503,108820,11834
MT: Missoula,1167,1992,7,907,6.810,631,69754,5596
NC: Charlotte,1583,6083,222,1619,7.390,711,808362,123073
NC: Durham,1351,2668,199,1423,7.261,556,252330,32961
NC: Greensboro,1527,2183,201,1621,7.391,594,282733,39757
NC: Raleigh,1396,2541,253,1652,7.410,543,440026,62576
ND: Bismarck,1653,2436,188,1594,7.374,383,69008,5953
ND: Fargo,2025,2720,184,1534,7.336,372,116048,11118
NE: Lincoln,1144,2379,1171,1684,7.429,389,273273,35896
NE: Omaha,1348,2898,1706,1727,7.454,491,443289,59538
NH: Manchester,1466,2805,181,1552,7.347,436,110210,14615
NH: Nashua,1979,2932,8,1837,7.516,700,87224,11827
NM: Albuquerque,1636,1922,236,1399,7.244,652,556971,67477
NM: Las Cruces,1618,2007,417,1234,7.118,610,101488,11648
NV: Las Vegas,2070,2943,371,1431,7.266,875,612531,95782
NV: Reno,2072,2737,257,1375,7.226,762,236426,31547
NY: Buffalo,4443,2723,186,3388,8.128,746,259567,38648
NY: New York,3798,8152,685,3392,8.129,1085,8471990,1051594
NY: Rochester,4302,3096,203,4040,8.304,897,210521,33665
NY: Syracuse,3991,2868,159,3321,8.108,879,144501,21044
NY: Yonkers,3165,5279,209,3071,8.030,952,199932,25094
OH: Akron,1999,3069,190,2025,7.613,731,198785,24099
OH: Cincinnati,2029,4191,508,1876,7.537,962,298100,30900
OH: Cleveland,2658,4418,1313,2356,7.765,822,389752,45425
OH: Columbus,1953,3594,324,1730,7.456,650,838200,89170
OH: Dayton,2295,3162,454,1789,7.489,755,140884,15866
OH: Toledo,2307,2665,220,1794,7.492,697,280611,31408
OK: Oklahoma,1011,2403,218,1472,7.294,635,620656,93108
OK: Tulsa,1033,2953,267,1585,7.368,536,399963,58268
OR: Eugene,1281,2453,1859,1288,7.161,726,160776,15154
OR: Portland,1683,3973,303,1570,7.359,754,619334,64949
OR: Salem,2073,2064,205,1569,7.358,555,161422,22790
PA: Philadelphia,2667,3976,751,1736,7.459,803,1560609,166233
PA: Pittsburgh,2774,3789,435,1817,7.505,580,305724,27660
RI: Providence,2315,2730,388,2407,7.786,948,178987,24739
RI: Warwick,736,3290,133,2144,7.670,493,82039,9221
SC: Charleston,938,4114,904,1607,7.382,776,129693,11445
SC: Columbia,1122,3317,584,1344,7.203,669,132193,11314
SD: Rapid City,790,2925,201,1007,6.915,560,72948,8048
SD: Sioux Falls,1001,2680,241,1679,7.426,462,168410,22137
TN: Chattanooga,1722,5034,3886,1261,7.140,706,174749,21713
TN: Knoxville,1170,3056,3797,1239,7.122,698,183757,19633
TN: Memphis,1446,3290,2610,1339,7.200,872,655641,98721
TN: Nashville,1047,3140,2000,1548,7.345,617,668699,79476
TX: Arlington,1251,2825,238,1708,7.443,446,382960,72436
TX: Austin,711,4004,1784,1304,7.173,692,911390,108398
TX: Corpus Christi,1058,3018,509,1680,7.427,584,320605,51815
TX: Dallas,1127,4288,301,1532,7.334,569,1277376,192559
TX: El Paso,1838,2314,189,1863,7.530,505,678494,137479
TX: Ft. Worth,1181,3086,354,1569,7.358,561,814307,124105
TX: Garland,1476,2766,2558,1746,7.465,393,235053,45579
TX: Houston,1142,4033,241,1593,7.373,649,2243999,325877
TX: Lubbock,1117,3720,1908,1402,7.246,502,244927,34179
TX: San Antonio,1575,3057,1941,2043,7.622,500,1439150,242301
UT: Provo,1016,1421,677,1023,6.930,261,114793,14000
UT: Salt Lake City,936,3738,417,1310,7.178,595,191103,25369
VA: Chesapeake,1809,2652,182,1951,7.576,603,233652,38965
VA: Norfolk,2118,3181,350,1578,7.364,715,246245,30066
VA: Richmond,2121,3373,1123,1690,7.432,875,216541,21447
VA: Virginia Beach,1562,2855,160,1845,7.520,497,450116,66866
VT: Burlington,2659,2827,1628,1863,7.530,587,42644,3617
VT: Rutland,2944,1707,250,3372,8.123,578,15936,2390
WA: Seattle,1496,5206,1824,1292,7.164,739,667963,47716
WA: Spokane,1961,2915,194,1723,7.452,653,211346,26870
WA: Tacoma,1940,4291,2596,1895,7.547,866,204461,26401
WI: Madison,1580,3029,195,1759,7.473,719,245834,25982
WI: Milwaukee,2372,2689,173,1764,7.475,907,600178,70582
WV: Charleston,1411,3765,34,1644,7.405,977,50347,7156
WV: Huntington,1235,2266,4,1462,7.288,667,48774,5820
WY: Casper,3682,2446,202,3379,8.125,654,59923,8202
WY: Cheyenne,3088,5466,349,2655,7.884,743,62745,8423
