"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
52075715,"West Asheville Basement Suite Asheville, NC",34278588,"Wegotthis",NA,28806,35.573879,-82.572029,"Entire home/apt",77,2,8,"2021-12-12",1.36,1,356,8,NA
15091721,"DOWNTOWN! Seconds from it all!",46001530,"Jonathan",NA,28801,35.59221,-82.55866,"Entire home/apt",118,1,365,"2022-03-03",5.62,10,302,85,NA
50168861,"The Urban Cottage - Chic West Asheville Home",67737136,"Mike & Jane",NA,28806,35.57487,-82.57572,"Entire home/apt",60,30,5,"2022-02-01",0.64,1,200,5,NA
24375145,"Bent Creek Getaway, Bike",183956684,"Inga",NA,28806,35.51244,-82.61329,"Entire home/apt",110,2,76,"2021-03-28",1.61,1,0,1,NA
47812966,"Blue Ridge Magic: Artist's Hideaway (Brand New)",385371093,"Mary",NA,28806,35.58475,-82.57182,"Entire home/apt",97,30,15,"2022-01-01",1.2,1,96,14,NA
13231021,"Easy Access to Downtown & Hiking, Sparkling Clean!",14764795,"Linda",NA,28803,35.55623,-82.49189,"Entire home/apt",275,3,74,"2020-10-18",1.1,1,79,0,NA
46796365,"The Suite Life in Oakley Mountain Home",64685297,"Zachary",NA,28803,35.55832,-82.49949,"Entire home/apt",90,1,42,"2022-03-06",2.99,1,7,37,NA
26735499,"RAD house",10077483,"Heidi",NA,28801,35.58262,-82.56078,"Entire home/apt",232,2,161,"2022-03-13",3.69,1,31,47,NA
11421709,"Hazel's Hideaway - Walk Downtown",25316948,"Heidi + Chris",NA,28801,35.59832,-82.567,"Entire home/apt",144,3,272,"2022-03-02",3.81,1,329,55,NA
53093098,"5 Walnut Suites #302",25952620,"Ashton",NA,28801,35.5963,-82.55303,"Entire home/apt",164,2,6,"2022-03-14",4.29,3,201,6,NA
6145162,"Downtown Asheville, Small Single - Best Value! -#7",7625694,"John",NA,28801,35.59058,-82.55014,"Private room",52,1,267,"2022-03-06",3.19,9,278,29,NA
21682891,"Cozy, Convenient: 3 Bdrm Home, 3 miles to Biltmore",15565480,"Nicole",NA,28803,35.54933,-82.50863,"Entire home/apt",182,2,131,"2022-03-14",2.49,3,144,39,NA
31318559,"New, Luxury Condo in Downtown Asheville Condotel Unit #504",167186184,"Towns",NA,28801,35.59142,-82.55563,"Entire home/apt",266,1,59,"2022-02-28",1.53,114,262,20,NA
20016326,"5-star Farmhouse in the City",142115355,"Makenzie",NA,28805,35.59072,-82.5361,"Entire home/apt",325,2,131,"2022-03-18",2.35,1,282,42,NA
33898003,"Beautiful West Asheville Home, Live like a local",13158326,"Colleah",NA,28806,35.57556,-82.59082,"Entire home/apt",182,2,129,"2022-02-21",3.68,1,53,53,NA
51266182,"Bright Room ☀️🌙",415111330,"Nick",NA,28806,35.61294,-82.58693,"Private room",65,1,1,"2022-03-16",1,1,248,1,NA
54021424,"Stunning, Furnished, Pickard Place Condo",382557808,"Corey",NA,28803,35.5729,-82.55101,"Entire home/apt",75,30,1,"2022-03-12",1,1,308,1,NA
52185009,"Asheville Adventurer's Retreat",368571485,"Amy",NA,28806,35.56744,-82.57109,"Entire home/apt",125,1,14,"2022-03-12",2.58,1,5,14,NA
47963676,"Cozy cottage w/firepit, 2 BR",14900836,"Johanna",NA,28804,35.62768,-82.61232,"Entire home/apt",145,2,27,"2021-12-19",2.56,2,327,27,NA
8265544,"5 Star Luxury Near Downtown & Biltmore",43536753,"Tracy And Brent",NA,28806,35.54128,-82.59905,"Entire home/apt",236,1,368,"2022-03-15",4.68,1,196,58,NA
42739512,"Luxury Retreat 2 blocks from DWNTN Asheville",339683895,"Alison Landers &",NA,28801,35.60057,-82.5486,"Entire home/apt",1600,3,6,"2021-11-27",0.38,1,305,5,NA
54041325,"The Asheville 1BR Condo",400304548,"David",NA,28803,35.52805,-82.5257,"Entire home/apt",115,2,1,"2022-03-18",1,1,280,1,NA
48974282,"Whole Renovated Home Minutes to Downtown Asheville",304938213,"Jenna",NA,28803,35.55291,-82.505,"Entire home/apt",253,1,41,"2021-12-18",3.65,1,61,41,NA
32740257,"Exceptional Home Nestled Among Acres of Forest",10965717,"Jeff And Leslie",NA,28804,35.62517,-82.5264,"Entire home/apt",264,3,125,"2022-03-13",3.63,1,232,49,NA
26740506,"*Zoe's Room* - 7 miles to Downtown Asheville!",155388775,"Crystal",NA,28715,35.56484,-82.64761,"Private room",41,1,96,"2021-10-28",2.33,1,78,22,NA
26690388,"Convenient and Cozy Lookout Retreat",26002506,"Michelle",NA,28804,35.62105,-82.57057,"Entire home/apt",84,2,243,"2022-03-16",5.72,3,235,84,NA
37630701,"Mountain Home Nestled in Nature, close to town",47111763,"Matilda",NA,28805,35.604691,-82.486107,"Entire home/apt",190,2,166,"2022-03-18",5.28,2,345,61,NA
27225252,"Comfy Camper & Firepit..Only 20 Easy Minutes Out",83635535,"Ann",NA,28704,35.4619,-82.53875,"Entire home/apt",68,2,58,"2021-11-15",1.33,1,0,12,NA
23370743,"Oak Shade Suite - Private Asheville Guesthouse",14649701,"Nicole",NA,28704,35.481,-82.51881,"Entire home/apt",104,3,128,"2022-03-15",2.98,2,167,30,NA
