date,year,month,weekday,station314,station304
2010-01-01,2010,1,Saturday,0,0
2010-01-02,2010,1,Sunday,0,0
2010-01-03,2010,1,Monday,0.06,0
2010-01-04,2010,1,Tuesday,0.01,0
2010-01-05,2010,1,Wednesday,0,0
2010-01-06,2010,1,Thursday,0,-99.9
2010-01-07,2010,1,Friday,-99.9,0.15
2010-01-08,2010,1,Saturday,-99.9,0.23
2010-01-09,2010,1,Sunday,-99.9,0.08
2010-01-10,2010,1,Monday,0.03,0
2010-01-11,2010,1,Tuesday,0,0
2010-01-12,2010,1,Wednesday,0.11,0
2010-01-13,2010,1,Thursday,0,0
2010-01-14,2010,1,Friday,0,0
2010-01-15,2010,1,Saturday,0,-99.9
2010-01-16,2010,1,Sunday,0,-99.9
2010-01-17,2010,1,Monday,0,0
2010-01-18,2010,1,Tuesday,0,0
2010-01-19,2010,1,Wednesday,0,0
2010-01-20,2010,1,Thursday,-99.9,-99.9
2010-01-21,2010,1,Friday,-99.9,0.03
2010-01-22,2010,1,Saturday,-99.9,0.16
2010-01-23,2010,1,Sunday,0,0
2010-01-24,2010,1,Monday,0.38,0.41
2010-01-25,2010,1,Tuesday,0.02,0.03
2010-01-26,2010,1,Wednesday,0.05,0.08
2010-01-27,2010,1,Thursday,0,-99.9
2010-01-28,2010,1,Friday,0.06,0.1
2010-01-29,2010,1,Saturday,0,0
2010-01-30,2010,1,Sunday,0,0
2010-01-31,2010,1,Monday,0,0
2010-02-01,2010,2,Tuesday,0,-99.9
2010-02-02,2010,2,Wednesday,0.08,-99.9
2010-02-03,2010,2,Thursday,0,-99.9
2010-02-04,2010,2,Friday,0,-99.9
2010-02-05,2010,2,Saturday,0,0
2010-02-06,2010,2,Sunday,0.15,0.11
2010-02-07,2010,2,Monday,0,0
2010-02-08,2010,2,Tuesday,0,-99.9
2010-02-09,2010,2,Wednesday,0.18,-99.9
2010-02-10,2010,2,Thursday,0.42,-99.9
2010-02-11,2010,2,Friday,0,-99.9
2010-02-12,2010,2,Saturday,0,-99.9
2010-02-13,2010,2,Sunday,0,-99.9
2010-02-14,2010,2,Monday,0,-99.9
2010-02-15,2010,2,Tuesday,0,-99.9
2010-02-16,2010,2,Wednesday,0.02,-99.9
2010-02-17,2010,2,Thursday,0,-99.9
2010-02-18,2010,2,Friday,0,-99.9
2010-02-19,2010,2,Saturday,0,-99.9
2010-02-20,2010,2,Sunday,-99.9,-99.9
2010-02-21,2010,2,Monday,-99.9,-99.9
2010-02-22,2010,2,Tuesday,0.79,0.72
2010-02-23,2010,2,Wednesday,0.06,-99.9
2010-02-24,2010,2,Thursday,0.01,-99.9
2010-02-25,2010,2,Friday,0.3,-99.9
2010-02-26,2010,2,Saturday,0,-99.9
2010-02-27,2010,2,Sunday,0.09,-99.9
2010-02-28,2010,2,Monday,0.07,-99.9
2010-03-01,2010,3,Tuesday,0.04,-99.9
2010-03-02,2010,3,Wednesday,0,-99.9
2010-03-03,2010,3,Thursday,0,-99.9
2010-03-04,2010,3,Friday,0,-99.9
2010-03-05,2010,3,Saturday,-99.9,-99.9
2010-03-06,2010,3,Sunday,-99.9,-99.9
2010-03-07,2010,3,Monday,-99.9,-99.9
2010-03-08,2010,3,Tuesday,-99.9,-99.9
2010-03-09,2010,3,Wednesday,-99.9,-99.9
2010-03-10,2010,3,Thursday,-99.9,0.01
2010-03-11,2010,3,Friday,-99.9,0.05
2010-03-12,2010,3,Saturday,0.47,0.48
2010-03-13,2010,3,Sunday,0.55,0.49
2010-03-14,2010,3,Monday,-99.9,-99.9
2010-03-15,2010,3,Tuesday,-99.9,-99.9
2010-03-16,2010,3,Wednesday,-99.9,-99.9
2010-03-17,2010,3,Thursday,-99.9,-99.9
2010-03-18,2010,3,Friday,-99.9,0
2010-03-19,2010,3,Saturday,-99.9,0
2010-03-20,2010,3,Sunday,0,0
2010-03-21,2010,3,Monday,0.09,0.04
2010-03-22,2010,3,Tuesday,0,-99.9
