country,points,price,province,variety
US,88,14,California,Pinot Noir
France,88,14,Provence,Rosé
US,84,12,California,Pinot Noir
France,84,12,France Other,Pinot Noir
Argentina,83,14,Other,Pinot Noir
US,88,55,California,Pinot Noir
US,91,45,California,Pinot Noir
France,85,14,Burgundy,Pinot Noir
France,87,35,Burgundy,Pinot Noir
US,86,42,Oregon,Pinot Noir
US,90,38,California,Chardonnay
Argentina,88,25,Mendoza Province,Chardonnay
US,86,125,California,Cabernet Sauvignon
US,90,95,California,Cabernet Sauvignon
France,90,80,Burgundy,Pinot Noir
US,87,65,California,Cabernet Sauvignon
France,90,26,Burgundy,Chardonnay
France,87,25,Burgundy,Chardonnay
France,91,90,Burgundy,Pinot Noir
US,81,25,California,Chardonnay
US,91,25,California,Rosé
US,91,42,Oregon,Pinot Noir
US,91,125,California,Cabernet Sauvignon
US,86,40,California,Pinot Noir
US,92,60,California,Pinot Noir
US,88,30,California,Pinot Noir
US,87,30,California,Pinot Noir
France,87,12,Languedoc-Roussillon,Chardonnay
Italy,93,40,Tuscany,Cabernet Sauvignon
US,87,30,California,Cabernet Sauvignon
US,89,45,California,Chardonnay
US,93,145,California,Cabernet Sauvignon
US,88,42,California,Pinot Noir
US,88,55,California,Pinot Noir
US,90,34,California,Chardonnay
France,87,15,Languedoc-Roussillon,Rosé
US,87,44,California,Pinot Noir
US,88,28,Washington,Chardonnay
Argentina,88,20,Mendoza Province,Cabernet Sauvignon
US,93,29,California,Pinot Noir
US,86,34,California,Cabernet Sauvignon
US,89,45,California,Cabernet Sauvignon
US,92,35,Oregon,Chardonnay
France,87,13,Rhône Valley,Rosé
US,92,39,California,Chardonnay
US,91,35,California,Chardonnay
US,82,25,New York,Pinot Noir
US,90,55,Oregon,Pinot Noir
US,89,40,California,Pinot Noir
US,90,36,California,Chardonnay
US,88,36,California,Chardonnay
US,90,42,California,Pinot Noir
Argentina,87,32,Mendoza Province,Cabernet Sauvignon
Chile,90,20,Colchagua Valley,Cabernet Sauvignon
Chile,85,14,Casablanca Valley,Chardonnay
US,87,75,California,Pinot Noir
US,86,20,Oregon,Pinot Noir
France,89,56,Burgundy,Chardonnay
US,88,26,Oregon,Pinot Noir
US,83,13,California,Cabernet Sauvignon
US,85,17,California,Chardonnay
US,95,48,California,Pinot Noir
US,89,30,California,Cabernet Sauvignon
US,94,44,California,Pinot Noir
France,87,18,Burgundy,Chardonnay
US,92,44,California,Pinot Noir
US,86,26,California,Chardonnay
US,95,165,California,Cabernet Sauvignon
US,86,58,California,Cabernet Sauvignon
Chile,88,20,Casablanca Valley,Pinot Noir
US,91,100,California,Cabernet Sauvignon
US,86,20,Oregon,Rosé
US,91,36,California,Pinot Noir
US,84,20,California,Cabernet Sauvignon
US,91,44,Oregon,Cabernet Sauvignon
US,84,18,California,Pinot Noir
US,91,55,Oregon,Pinot Noir
US,94,125,California,Cabernet Sauvignon
US,93,60,California,Cabernet Sauvignon
France,93,72,Burgundy,Pinot Noir
US,91,32,Washington,Cabernet Sauvignon
US,85,12,California,Chardonnay
US,90,58,California,Pinot Noir
France,88,35,Burgundy,Chardonnay
US,85,48,California,Pinot Noir
US,92,50,California,Pinot Noir
US,91,65,California,Pinot Noir
US,88,23,California,Chardonnay
US,92,36,Oregon,Pinot Noir
US,94,70,California,Chardonnay
US,90,25,Washington,Rosé
US,88,22,Oregon,Chardonnay
Chile,84,10,Central Valley,Chardonnay
US,88,22,California,Chardonnay
US,88,18,Oregon,Pinot Noir
